Price,Close,High,Low,Open,Volume
Ticker,KO,KO,KO,KO,KO
Date,,,,,
2009-06-02,15.149213790893555,15.231579772989186,14.911268396199397,14.950925186177425,33442000
2009-06-03,14.975334167480469,15.100408209129025,14.877715460033148,15.051598855405363,26862800
2009-06-04,15.179718017578125,15.188870568462152,14.859406665590921,14.990581979100051,21710200
2009-06-05,15.082099914550781,15.234629246402369,15.01803787446266,15.225477858877337,19833400
2009-06-08,15.063796043395996,15.140060703772455,14.88991271083418,15.018036781687575,15849400
2009-06-09,14.975334167480469,15.130913618816267,14.905170794234381,15.103458284615034,20304400
2009-06-10,14.767891883850098,15.05769788676036,14.658070563698283,15.039393945499521,28236200
2009-06-11,14.946337699890137,15.140165434445077,14.792505493873877,14.804811178383767,20569000
2009-06-12,15.041714668273926,15.087864804912176,14.91557229159567,14.97710541589776,17240800
2009-06-15,14.801734924316406,14.970950114760509,14.79865762298026,14.955567129019515,17630000
2009-06-16,14.715587615966797,14.869419803428812,14.712510314975544,14.82634580507643,15866200
2009-06-17,14.746360778808594,14.964802309907999,14.718670924609583,14.730977787286259,16653800
2009-06-18,15.244771003723145,15.27246084706579,14.755584553767404,14.764815283979328,24154600
2009-06-19,15.01710033416748,15.349377287988997,14.986333188857513,15.30015102913964,30718400
2009-06-22,14.764815330505371,15.017100049023787,14.76481533050537,14.927877089788927,21359600
2009-06-23,14.706357955932617,14.930952825119785,14.690974970797214,14.826346883093901,18727000
2009-06-24,14.614055633544922,14.918643835785272,14.570982815250508,14.804807188982865,17777000
2009-06-25,14.721739768981934,14.777119449977501,14.51560520255678,14.589443994786574,20630200
2009-06-26,14.807889938354492,14.857116202182722,14.654057717185436,14.681747563941734,26200600
2009-06-29,14.857118606567383,14.921727868239142,14.804815032609127,14.810968463289328,17526600
2009-06-30,14.764815330505371,14.844807559499218,14.709435643645564,14.832500701608915,31447400
2009-07-01,15.130937576293945,15.260156080503682,14.894035811596035,14.915572228964324,24212400
2009-07-02,15.038627624511719,15.20784271328377,15.004784372028132,15.004784372028132,22199200
2009-07-06,15.075553894042969,15.090936877572913,14.884802316249543,14.977101391075625,16671800
2009-07-07,14.96479606628418,15.127857820952812,14.937106223637945,14.992485908930412,17109000
2009-07-08,14.924792289733887,15.038628907553694,14.820186397517238,14.93709914144078,21321000
2009-07-09,14.986339569091797,15.029412417216852,14.924806425921537,14.989416871756207,17427000
2009-07-10,14.86326789855957,15.035559215042952,14.77404493901121,14.921723713274066,15619200
2009-07-13,15.090934753417969,15.130931443883142,14.798653412904013,14.884800221109481,20608400
2009-07-14,15.164773941040039,15.183233048286716,14.995558807283768,15.081704437491428,15369200
2009-07-15,15.54627799987793,15.561662155077785,15.19554085641243,15.22015456581519,20127200
2009-07-16,15.626274108886719,15.65396394997412,15.432445221274897,15.490901030838762,15817800
2009-07-17,15.481669425964355,15.552432083011672,15.392446486086572,15.478593298982434,19808400
2009-07-20,15.700111389160156,15.700111389160156,15.40475389513201,15.570892925640226,19104800
2009-07-21,15.490896224975586,15.638576114056816,15.321681103559053,15.638576114056816,28738600
2009-07-22,15.115548133850098,15.487821673553537,15.029401327517784,15.481668246412212,28358800
2009-07-23,15.130937576293945,15.389375758360144,15.038638477051743,15.115554588694698,26749000
2009-07-24,15.186317443847656,15.272463114303756,15.026331788967234,15.201700431622427,16574000
2009-07-27,15.235541343688965,15.25707775795959,15.121705843451862,15.18631508626374,16257600
2009-07-28,15.19554615020752,15.306305533813557,15.075557209183202,15.20785300919634,16079600
2009-07-29,15.161701202392578,15.36475965872296,15.103245389113686,15.204774030455606,18125000
2009-07-30,15.281688690185547,15.537050680562906,15.24476929441709,15.327838815130939,19436600
2009-07-31,15.333992958068848,15.44475232418303,15.229387020477287,15.272459846489138,16822200
2009-08-03,15.260149955749512,15.413982117293946,15.1678508935521,15.392445708569426,18436000
2009-08-04,15.229386329650879,15.429368639801838,15.18323620464791,15.247846614381354,17580200
2009-08-05,15.12785816192627,15.257077821736742,15.075555776663704,15.232464106097963,15010000
2009-08-06,15.19554615020752,15.244772412516129,15.13709033048063,15.201699579701929,13811600
2009-08-07,15.180163383483887,15.306305755832316,15.127859818846071,15.278615909529163,13305400
2009-08-10,15.210926055908203,15.223232912404077,15.069400727144965,15.155546375323208,13499200
2009-08-11,15.087860107421875,15.223231999822083,15.06017026878929,15.204771716184906,12509000
2009-08-12,14.909415245056152,15.103244128812129,14.900185689426111,15.06324743167121,24894800
2009-08-13,14.804811477661133,14.967874417414345,14.589446150155467,14.900187869832006,26560600
2009-08-14,14.91249942779541,14.912499427795408,14.767896730079677,14.78327972111078,14806400
2009-08-17,14.983255386352539,15.010945227213101,14.804809484440813,14.90326199113471,16211600
2009-08-18,14.955564498901367,15.060170426649117,14.915567804091422,14.998637320859903,15516200
2009-08-19,15.186317443847656,15.223236849236452,14.86634613408681,14.86634613408681,17039600
2009-08-20,15.204771041870117,15.253998462719405,15.112471975070319,15.19554148728403,11873200
2009-08-21,15.355530738830566,15.377067153754794,15.152472274083133,15.260154348704276,17650000
2009-08-24,15.094019889831543,15.321690948973645,15.017103769431428,15.321690948973645,21742400
