Price,Close,High,Low,Open,Volume
Ticker,CRM,CRM,CRM,CRM,CRM
Date,,,,,
2009-04-28,10.072823524475098,10.15473608317911,9.88913929631651,9.966088260944591,4861600
2009-04-29,10.293740272521973,10.41288641366661,10.050483449323835,10.102609708532858,5509200
2009-04-30,10.626357078552246,10.693376961372417,10.345866668280278,10.417851092074836,10798400
2009-05-01,10.278848648071289,10.61146537851313,10.216793294980569,10.465014707343448,5610400
2009-05-04,10.829899787902832,10.829899787902832,10.417852307836526,10.417852307836526,8832000
2009-05-05,11.145139694213867,11.169961452018162,10.70330501956038,10.824933905335898,11621600
2009-05-06,10.889472007751465,11.291591337382084,10.805076698100656,11.19726694497484,8181600
2009-05-07,10.221756935119629,11.003654693841675,10.169630670375348,11.003654693841675,10184400
2009-05-08,10.187006950378418,10.492319172751763,10.090200751441692,10.36324392520628,6892400
2009-05-11,10.244096755981445,10.405440089411398,9.976017203491883,9.985946286226188,6630800
2009-05-12,10.144806861877441,10.373171008697048,10.020696180118126,10.358277386005762,5507200
2009-05-13,9.683115005493164,10.038071632221959,9.598719703748777,10.005803536620695,6796800
2009-05-14,9.871764183044434,9.966088570536522,9.613613726165772,9.720348993011962,6876800
2009-05-15,9.978500366210938,10.172112753204555,9.85438966749411,9.92885589734631,5811200
2009-05-18,10.028143882751465,10.291257933035208,9.871764152089828,10.060411979593065,7121200
2009-05-19,10.182042121887207,10.298706484957243,9.901551669792411,10.01076969373526,9710800
2009-05-20,9.995875358581543,10.437709124015448,9.936301809127015,10.254025828068757,7206000
2009-05-21,9.841979026794434,10.030626876808935,9.735243747546258,9.971053323342009,14368400
2009-05-22,8.973203659057617,9.256175893158183,8.712570441122343,9.005471758111568,36521200
2009-05-26,9.30830192565918,9.427448076680884,8.720017509086562,9.0501514583341,11081200
2009-05-27,9.060079574584961,9.362909934603072,9.012917857405638,9.273550094145968,9228000
2009-05-28,9.375321388244629,9.472127572381748,9.01043566629143,9.079938294737856,11794400
2009-05-29,9.420001983642578,9.432412863822346,9.164333306869928,9.318231251145336,8586400
2009-06-01,9.874246597290039,9.908997440409175,9.521772677779422,9.521772677779422,8040800
2009-06-02,9.745170593261719,9.91892574206204,9.690562535613733,9.849424061297665,6464000
2009-06-03,9.75013542175293,9.76006450412325,9.51432587023901,9.690562821309834,9511200
2009-06-04,9.74765396118164,9.958641760944367,9.633472350648622,9.784886601021828,12475600
2009-06-05,9.712902069091797,9.928854386877363,9.698008446631318,9.8519054244989,11769200
2009-06-08,9.608651161193848,9.767512722132906,9.534184922864863,9.673189262131336,9966400
2009-06-09,9.824603080749512,9.91892652728552,9.611132533628991,9.683116017166585,8357600
2009-06-10,9.921408653259277,9.978499455833663,9.774958004259101,9.926373194381753,15254000
2009-06-11,10.326008796691895,10.363242381609124,9.928854976391975,9.928854976391975,10732000
2009-06-12,10.326008796691895,10.326008796691895,10.030625702024418,10.316080661351446,4568800
2009-06-15,10.085235595703125,10.226721715827606,9.963606694897958,10.177077247195099,5311600
2009-06-16,9.918925285339355,10.221755646536216,9.896585325138123,10.211826564915816,7053600
2009-06-17,10.05296516418457,10.211826684412598,9.881692765230481,9.966088066212789,5196400
2009-06-18,9.968570709228516,10.144807664008018,9.807226431428479,10.144807664008018,4914000
2009-06-19,9.906514167785645,10.110055601647183,9.854387910869978,9.988427668843961,6207200
2009-06-22,9.258658409118652,9.73276126462453,9.258658409118652,9.73276126462453,8435600
2009-06-23,9.38525104522705,9.417519143989393,9.03029438372567,9.303337532470062,9307600
2009-06-24,9.74020767211914,9.80474481630396,9.432412734672164,9.491986284364609,8736800
2009-06-25,9.874246597290039,9.881693882879468,9.501914512060225,9.680634215975163,5727600
2009-06-26,9.658292770385742,9.864316947094023,9.55900385081006,9.827083365530815,5053600
2009-06-29,9.658292770385742,9.693043608170436,9.524253013025366,9.680632729945804,4187200
2009-06-30,9.474609375,9.717867154369998,9.420001316697428,9.668222690276338,7286000
2009-07-01,9.658292770385742,9.757581689961425,9.432411377895912,9.55900385081006,4898400
2009-07-02,9.472127914428711,9.621060365111687,9.377803523988465,9.521772380286178,5680400
2009-07-06,9.204050064086914,9.422484216642284,9.1345474274652,9.340571646156397,9790800
2009-07-07,8.829236030578613,9.293409831202597,8.80937880891829,9.156888236535496,10483200
2009-07-08,9.060079574584961,9.09234861628099,8.754767417616078,8.8193045541188,10574800
2009-07-09,9.139510154724121,9.258656290707075,9.04766851911234,9.144474695417909,5000800
2009-07-10,9.248727798461914,9.295890464612494,9.03525821636697,9.03525821636697,3561200
2009-07-13,9.487021446228027,9.489503243396584,9.253692743028061,9.310783546799065,6672400
2009-07-14,9.4671630859375,9.496949385792547,9.365392360117472,9.472127627061575,4404800
2009-07-15,9.854388236999512,9.899068157802848,9.539146994393457,9.663257675093982,5564400
2009-07-16,9.948712348937988,9.998355862356824,9.717866413360971,9.755099048425098,5177600
2009-07-17,10.137361526489258,10.182041452092285,9.913961898474117,9.946230944051736,4442800
2009-07-20,10.35827922821045,10.38061919277583,10.157219547122022,10.23913306615826,4948800
2009-07-21,10.37813663482666,10.42529835794669,10.251543195936355,10.358278469161728,3793200
2009-07-22,10.541961669921875,10.566783427655222,10.221755881959144,10.365723781213408,5087200
2009-07-23,10.963937759399414,10.998689547540577,10.492317711585084,10.561819394088596,6143200
2009-07-24,11.202230453491211,11.21464133234773,10.824933865538972,10.82741566255453,7548800
2009-07-27,11.055780410766602,11.202231061760111,10.998689607415153,11.182372896999913,4354000
2009-07-28,10.81252384185791,10.931669992704762,10.67600132297038,10.72068124789913,6452000
2009-07-29,10.720680236816406,10.812522822113381,10.60898138191845,10.728127521528458,4247200
2009-07-30,10.854722023010254,11.04585262017714,10.75543402826597,10.75543402826597,6530400
2009-07-31,10.757915496826172,10.961456968752435,10.733093735621308,10.87457985764592,4262400
2009-08-03,11.085566520690918,11.095495602900545,10.805076103050016,10.909329572472313,4036000
2009-08-04,11.29159164428711,11.39584417539492,10.931670433143973,10.978832157184724,5372400
2009-08-05,11.194784164428711,11.393362031353739,11.083085297895188,11.346199361858794,6175600
2009-08-06,11.26180362701416,11.301519009520838,11.137692938319613,11.182372862000802,5321200
2009-08-07,11.599384307861328,11.723494990736226,11.393361066671465,11.4181828244907,9013200
2009-08-10,11.366057395935059,11.70860222395367,11.356128313325682,11.614278779832889,5284400
2009-08-11,11.11783504486084,11.41818266599554,11.08308420564054,11.366056407165091,3484800
2009-08-12,11.941930770874023,12.038736957795223,11.219606591281886,11.222088388456273,17748000
2009-08-13,11.912145614624023,12.02384448910026,11.743354983869008,11.934485578897172,9337200
2009-08-14,11.69619083404541,11.991574874010851,11.619242814402158,11.919590448566384,4784400
2009-08-17,11.155067443847656,11.564633061695531,11.132727483839785,11.564633061695531,6581600
2009-08-18,10.996207237243652,11.232017743896721,10.859685663988543,11.212159578461351,10066800
2009-08-19,11.179891586303711,11.222088767921074,10.767844118494933,10.862167564541789,8926400
